AWS Field,Sentinel Column,Sentinel Type,Mapping Notes
version,Version,int,"Flow log format version number"
account-id,AccountId,string,"AWS account ID of source network interface owner"
interface-id,InterfaceId,string,"Network interface ID (ENI)"
srcaddr,SrcAddr,string,"Source IP address"
dstaddr,DstAddr,string,"Destination IP address"
srcport,SrcPort,int,"Source port number"
dstport,DstPort,int,"Destination port number"
protocol,Protocol,int,"IANA protocol number (6=TCP, 17=UDP, 1=ICMP)"
packets,Packets,int,"Number of packets transferred during flow"
bytes,Bytes,long,"Number of bytes transferred during flow"
start,Start,datetime,"Unix epoch seconds → ISO 8601. First packet time."
end,End,datetime,"Unix epoch seconds → ISO 8601. Last packet time."
action,Action,string,"ACCEPT or REJECT"
log-status,LogStatus,string,"OK, NODATA, or SKIPDATA"
vpc-id,VpcId,string,"VPC ID (v3+)"
subnet-id,SubnetId,string,"Subnet ID (v3+)"
instance-id,InstanceId,string,"EC2 instance ID if applicable (v3+)"
tcp-flags,TcpFlags,int,"Bitmask of TCP flags (v3+). 2=SYN, 18=SYN-ACK, 1=FIN, 4=RST"
type,TrafficType,string,"Traffic type: IPv4, IPv6, or EFA (v3+)"
pkt-srcaddr,PktSrcAddr,string,"Packet-level source address (v3+)"
pkt-dstaddr,PktDstAddr,string,"Packet-level destination address (v3+)"
region,Region,string,"AWS region (v4+)"
az-id,AzId,string,"Availability Zone ID (v4+)"
sublocation-type,SublocationType,string,"Sublocation type: wavelength, outpost, localzone (v4+)"
sublocation-id,SublocationId,string,"Sublocation ID (v4+)"
pkt-src-aws-service,PktSrcAwsService,string,"Source AWS service name (v5+)"
pkt-dst-aws-service,PktDstAwsService,string,"Destination AWS service name (v5+)"
flow-direction,FlowDirection,string,"ingress or egress (v5+)"
traffic-path,TrafficPath,string,"Path that traffic takes: 1-8 numeric codes (v5+)"
ecs-cluster-arn,EcsClusterArn,string,"ECS cluster ARN (v7+)"
ecs-cluster-name,EcsClusterName,string,"ECS cluster name (v7+)"
ecs-container-instance-arn,EcsContainerInstanceArn,string,"ECS container instance ARN (v7+)"
ecs-container-instance-id,EcsContainerInstanceId,string,"ECS container instance ID (v7+)"
ecs-container-id,EcsContainerId,string,"Docker container ID (v7+)"
ecs-second-container-id,EcsSecondContainerId,string,"Second container ID if using awsvpc networking (v7+)"
ecs-service-name,EcsServiceName,string,"ECS service name (v7+)"
ecs-task-definition-arn,EcsTaskDefinitionArn,string,"ECS task definition ARN (v7+)"
ecs-task-arn,EcsTaskArn,string,"ECS task ARN (v7+)"
ecs-task-id,EcsTaskId,string,"ECS task ID (v7+)"
(computed from start),TimeGenerated,datetime,"Set to Start time. Mandatory for Sentinel ingestion."
(system),_BilledSize,real,"Managed by Sentinel — do not send"
(system),_IsBillable,string,"Managed by Sentinel — do not send"
(system),SourceSystem,string,"Managed by Sentinel — do not send"
(system),TenantId,string,"Managed by Sentinel — do not send"
(system),Type,string,"Managed by Sentinel — do not send"
